Renyi,Shannon,Tsallis,Approximate,Target
-14.63696873,-6266.909705,-10570079,0.885300797,0
-14.80687724,-5824.064221,-9615666,0.854534832,0
-15.49471624,-9776.691607,-13711829,0.822456542,0
-16.34000637,-14407.60104,-17629652,0.816859355,0
-16.14686847,-10309.64725,-13108219,0.774246544,0
-23.31536467,-44314.95078,-24240422,0.974118079,0
-19.06685551,-36863.40041,-31408951,0.677956971,0
-15.09726006,-6826.642288,-10860099,0.848360506,0
-16.90600182,-15605.6212,-17043950,0.774239782,0
-19.70059614,-42878.55557,-34393282,0.716497968,0
-20.58849562,-62388.31636,-44993871,0.669419204,0
-14.45884852,-4209.914541,-8686790,0.944526308,0
-22.79193106,-40028.8342,-23746912,0.859618259,0
-22.99170418,-81967.88593,-49363098,0.692358969,0
-20.44697713,-51571.9498,-38403404,0.674735787,0
-23.27098595,-39896.49692,-20249064,0.971634751,0
-20.86154776,-63627.67566,-44761147,0.665437425,0
-15.12746357,-6226.319751,-11047665,0.973436648,0
-22.83080936,-54371.86397,-34368101,0.639497954,0
-16.76829398,-14156.69183,-16066742,0.727551866,0
-19.24783279,-18399.07412,-18151116,0.782678252,0
-17.94759034,-20116.1853,-20409018,0.716630222,0
-14.78724663,-5444.741573,-8950940,0.78397867,0
-22.8794553,-52438.13985,-31950933,0.652168457,0
-16.63608157,-15809.54821,-17774623,0.691223646,0
-22.83694573,-36569.47706,-19769325,0.773607477,0
-22.81411422,-50422.7886,-30216542,0.667049677,0
-23.2811118,-41141.9566,-21936787,0.914257927,0
-13.24938462,-2802.842828,-7017937,0.884665895,0
-19.53520215,-18652.86192,-17799679,0.775115202,0
-19.53520215,-18652.86192,-17799679,0.775115202,0
-13.16292906,-2362.742525,-6976124,0.954184053,0
-14.46322276,-5376.490689,-10579948,0.983030792,0
-16.75194564,-13006.65422,-16483677,0.907446005,0
-19.9274843,-41111.95758,-32767666,0.741058419,0
-14.43353561,-4897.231103,-8764423,0.870813644,0
-20.41090187,-55136.95812,-40714104,0.689175648,0
-22.92025397,-79629.34657,-49570823,0.689185741,0
-20.51486437,-43218.22981,-32711552,0.730904485,0
-18.07593761,-16276.40576,-16420857,0.794607544,0
-20.51486437,-43218.22981,-32711552,0.730904485,0
-24.99151502,-73045.5983,-27791592,0.929780625,0
-12.54865656,-1846.953048,-5862616,0.913443291,0
-13.32241301,-2851.034024,-6667248,0.831420933,0
-22.73921161,-55316.40894,-34251023,0.60304847,0
-17.21824655,-17758.56411,-18393179,0.661251561,0
-23.2641216,-38665.97043,-19237164,1.015038566,0
-19.24077824,-15527.48399,-15506436,0.797173637,0
-16.23584469,-6362.684586,-9486662,0.812852752,0
-13.48732564,-2939.456175,-6650011,0.870143229,0
-24.90855492,-70376.9681,-26631955,1.021653867,0
-22.85768635,-33883.62398,-17060154,0.870476908,0
-22.82140462,-44747.96376,-26280957,0.672199885,0
-17.8371787,-20199.2402,-18877918,0.658891112,0
-12.20249466,-1486.06528,-5549507,0.938555958,0
-17.94972391,-18163.35165,-17769023,0.708359041,0
-13.45971435,-2388.83829,-6038736,0.844513093,0
-25.00256974,-77181.07319,-34270452,1.098527745,0
-13.60063653,-3723.892743,-9276114,1.082134557,0
-14.93046095,-8674.340446,-14707613,1.02450905,0
